  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      475        1.213        5.648            0      374.929      153.449      175.427
      476        1.842        5.569            0      379.432      157.811      188.313
      477        1.464        5.597            0      381.557      186.898      189.223
      478        2.007        5.822            0      381.516      193.309      186.851
      479        1.980        5.808            0      379.038      201.578      186.407
      480        2.006        5.682            0      384.528      200.427      193.758
      481        1.862        5.639            0      379.690      155.919      185.836
      482        1.917        5.656            0      378.340      180.088      189.289
      483        1.845        5.693            0      378.289      194.216      190.372
      484        1.278        5.723            0      381.439      201.900      193.002
      485        1.924        5.763            0      381.496      186.013      189.923
      486        1.593        5.644            0      379.755      185.620      190.081
      487        1.812        5.562            0      380.975      153.146      190.401
      488        1.918        5.671            0      378.404      178.699      188.562
      489        1.861        5.664            0      379.977      163.331      187.264
      490        1.855        5.589            0      380.593      172.538      192.649
      491        1.814        5.705            0      379.356      181.558      187.947
      492        1.881        5.619            0      382.797      170.716      192.318
      493        1.914        5.637            0      383.156      173.995      191.385
      494        1.890        5.658            0      379.256      168.495      193.459
      495        1.562        5.710            0      380.054      191.307      194.015
      496        1.057        5.684            0      376.807      217.935      193.286
      497        1.956        5.853            0      380.066      207.492      185.578
      498        2.029        5.827            0      380.246      241.878      189.395
      499        1.407        5.599            0      378.046      207.833      192.140
      500        1.716        5.632            0      379.536      219.337      179.608
      501        1.225        5.678            0      380.430      213.428      186.356
      502        0.952        5.538            0      377.164      206.584      191.667
      503        1.366        5.458            0      375.915      178.705      184.502
      504        1.788        5.547            0      372.954      178.590      174.903
      505        1.345        5.933            0      383.614      299.488      189.202
      506        1.377        5.575            0      380.629      257.432      185.258
      507        1.517        5.601            0      376.894      229.311      177.454
      508        1.579        5.410            0      378.824      211.430      184.826
      509        1.832        5.523            0      372.707      241.588      174.243
      510        1.734        5.575            0      375.954      250.399      174.402
      511        1.349        5.773            0      379.561      280.782      187.508
      512        1.349        5.647            0      378.121      200.877      189.437
      513        1.388        5.457            0      376.064      200.422      188.051
      514        1.003        5.590            0      379.475      159.097      188.918
      515        0.979        5.571            0      380.759      186.511      191.233
      516        1.158        5.579            0      375.180      167.831      182.097
      517        1.142        5.416            0      376.739      160.467      187.687
      518        1.055        5.470            0      379.511      180.072      188.688
      519        1.028        5.495            0      377.993      167.687      188.949
      520        1.011        5.681            0      381.797      191.970      185.824
      521        1.169        5.495            0      375.932      172.949      177.306
      522        1.356        5.572            0      380.957      164.745      185.348
      523        1.477        5.558            0      374.280      172.866      175.951
      524        1.156        5.513            0      375.766      200.279      175.263
      525        1.687        5.637            0      380.397      186.858      191.007
      526        1.923        5.766            0      379.033      170.726      192.071
      527        1.823        5.669            0      378.763      161.692      189.072
      528        1.309        5.569            0      378.555      168.115      184.055
      529        1.273        5.547            0      375.208      153.017      175.472
      530        1.804        5.507            0      374.940      171.498      180.556
      531        1.169        5.691            0      377.564      153.601      175.294
      532        1.659        5.549            0      375.644      170.132      177.648
      533        1.338        5.500            0      375.628      159.238      180.079
      534        1.032        5.515            0      378.699      145.430      192.253
      535        1.037        5.727            0      381.494      168.265      185.784
      536        0.901        5.586            0      381.412      147.808      194.201
      537        1.120        5.490            0      378.360      163.365      184.949
      538        1.145        5.509            0      375.387      192.991      186.449
      539        1.237        5.598            0      381.554      162.756      190.985
      540        1.168        5.546            0      377.655      165.476      196.945
      541        1.147        5.432            0      375.856      151.335      192.242
      542        1.207        5.706            0      378.564      168.097      186.192
      543        1.048        5.440            0      377.429      155.873      191.555
      544        1.127        5.334            0      376.309      146.555      192.061
      545        1.087        5.461            0      379.310      175.326      189.615
      546        1.011        5.693            0      379.250      181.772      180.060
      547        1.245        5.796            0      382.381      176.350      191.762
      548        1.128        5.596            0      376.719      186.994      185.092
      549        1.243        5.651            0      379.315      171.933      189.197
      550        1.243        5.739            0      381.460      213.879      192.407
