@structureId,@chemicalID,@type,@molecularWeight,InChIKey,smiles
2XJE,ATP,NON-POLYMER,507.181,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N
2XJF,DG2,NON-POLYMER,266.037,XOHUEYCVLUUEJJ-UWTATZPHSA-N,C([C@H](C(=O)O)OP(=O)(O)O)OP(=O)(O)O
4H4B,11H,NON-POLYMER,368.339,MSSUFHMGCXOVBZ-UHFFFAOYSA-N,c1cc2c(cc1S(=O)(=O)O)C(=O)c3ccc(cc3C2=O)S(=O)(=O)O
5CQZ,53O,NON-POLYMER,220.269,HGZNKHJCDHAXJE-UHFFFAOYSA-N,c1ccc(cc1)c2cccc(c2)n3ccnc3
5CR7,5WO,NON-POLYMER,380.402,VPRBXPQTUPUOMQ-UHFFFAOYSA-N,c1ccn(c1)c2cccc(c2)c3cccc(c3)C(=O)Nc4c5c(nc[nH]5)ncn4
5OPK,DTP,NON-POLYMER,491.182,SUYVUBYJARFZHO-RRKCRQDMSA-N,c1nc(c2c(n1)n(cn2)[C@H]3C[C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O)N
5OPM,DTP,NON-POLYMER,491.182,SUYVUBYJARFZHO-RRKCRQDMSA-N,c1nc(c2c(n1)n(cn2)[C@H]3C[C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O)N
6DDH,IMP,NON-POLYMER,348.206,GRSZFWQUAKGDAV-KQYNXXCUSA-N,c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N=CNC2=O
6DDZ,ATP,NON-POLYMER,507.181,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N
6DE2,ATP,NON-POLYMER,507.181,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N
6DE3,ATP,NON-POLYMER,507.181,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N
2VJ2,MLT,NON-POLYMER,134.087,BJEPYKJPYRNKOW-UWTATZPHSA-N,C([C@H](C(=O)O)O)C(=O)O
4CBZ,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
4CC0,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
4CC1,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
